RG;PAYS;CAPITALE;ALTITUDE;LATITUDE;LONGITUDE; GMT
;;;;;;
1;AFGHANISTAN;KABOUL;1803;35N;69E;4,30 
2;AFRIQUE DU SUD;PRETORIA;1400;26S;28E;2,00 
3;ALBANIE;TIRANA;89;41N;20E;1,00 
4;ALGERIE;ALGER;25;37N;3E;0,00 
5;ALLEMAGNE ;BONN;64;51N;7E;1,00 
6;ANDORRE;ANDORRE-LA-VIEILLE;1070;43N;2E;1,00 
7;ANGOLA;LOANDA;70;9S;13E;1,00 
8;ANGUILLA;LA VALLEE;31;18N;63W;-5,00 
9;ANTIGUA;SAINT-JOHN'S;10;17N;62W;-5,00 
10;ANTILLES NEERLANDAISES;WILLEMSTAD;23;12N;69W;-4,00 
11;ARABIE SAOUDITE;AR RIYAD;609;25N;47E;3,00 
12;ARGENTINE;BUENOS AIRES;25;35S;50W;-3,00 
13;AUSTRALIE;CANBERRA;560;35S;149E;10,00 
14;AUTRICHE;VIENNE;212;48N;16E;1,00 
15;BAHAMAS;NASSAU;10;25N;77W;-5,00 
16;BAHREIN;MANAMA;2;26N;51E;4,00 
17;BANGLADESH;DACCA;7;24N;90E;6,00 
18;BARBADE;BRIDGETOWN;56;13N;60W;-5,00 
19;BELGIQUE;BRUXELLES;16;51N;4E;1,00 
20;BELIZE;BELIZE CITY;5;18N;88W;-6,00 
21;BENIN;PORTO NOVO;13;6N;2E;1,00 
22;BERMUDES;MANILTON;46;32N;65W;-4,00 
23;BHOUTAN;THIMPHU-PUNAKHA;1381;27N;90E;5,30 
24;BIRMANIE;RANGOON;23;17N;96E;6,30 
25;BOLIVIE;LA PAZ-SUCRE;3658;17S;65W;-4,00 
26;BOTSWANA;GABORONE;1006;22S;24E;2,00 
27;BRESIL;BRASILIA;1161;16S;48W;-4,00 
28;BRUNEI;BANDAR SERI;3;5N;115E;7,30 
29;BULGARIE;SOFIA;588;43N;23E;2,00 
30;BURKINA FASO;OUADAGOUDOU;314;12N;2W;0,00 
31;BURUNDI;BUJUMBURA;783;3S;29E;2,00 
32;CAIMANS;GEORGETOWN;1;19N;81W;-5,00 
33;CAMEROUN;YAOUNDE;760;4N;12E;1,00 
34;CANADA;OTTAWA;126;45N;75W;-5,00 
35;CAP-VERT;PRAIA;28;18N;25W;0,00 
36;CENTRAFRIQUE;BANGUI;381;4N;19E;1,00 
37;CHILI;SANTIAGO;520;33S;71W;-4,00 
38;CHINE;PEKIN;38;40N;116E;8,00 
39;CHYPRE;NICOSIE;217;35N;33E;2,00 
40;COLOMBIE;BOGOTA;2546;5N;72W;-5,00 
41;COMORES;MORONI;17;12S;43E;3,00 
42;CONGO;BRAZZAVILLE;314;4S;15E;1,00 
43;COOK;AVARUA;2;20S;160W;-10,30 
44;COREE DU NORD;PYONGYANG;30;40N;127E;9,00 
45;COREE DU SUD;SEOUL;87;37N;127E;9,00 
46;COSTA RICA;SAN JOSE;1158;10N;84W;-6,00 
47;COTE D'IVOIRE;YAMOUSSOUKRO;7;6N;6W;0,00 
48;CUBA;LA HAVANE;64;21N;80W;-5,00 
49;DANEMARK;COPENHAGUE;13;56N;10E;1,00 
50;DJIBOUTI;DJIBOUTI;9;12N;43E;3,00 
51;DOMINICAINE;SAINT-DOMINGUE;14;18N;70W;-5,00 
52;DOMINIQUE;ROSEAU;24;15N;61W;-5,00 
53;EGYPTE;LE CAIRE;24;30N;32E;2,00 
54;EMIRATS ARABES UNIS;ABU DHABI;15;24N;54E;4,00 
55;EQUATEUR;QUITO;2812;0;78W;-5,00 
56;ESPAGNE;MADRID;657;40N;4W;1,00 
57;ETATS-UNIS;WASHINGTON;20;39N;77W;-5,00 
58;ETHIOPIE;ADDIS ABEBA;2360;9N;39E;3,00 
59;FALKLAND;STANLEY;;52S;60W;-3,00 
60;FEROE;THORSHAVN;;62N;7W;0,00 
61;FIDJI;SUVA;39;18S;178E;12,00 
62;FINLANDE;HELSINKI;58;60N;25E;2,00 
63;FORMOSE;TAIPEH;9;25N;122E;8,00 
64;FRANCE;PARIS;53;49N;2E;1,00 
65;GABON;LIBREVILLE;10;O;9E;1,00 
66;GAMBIE;BANJUL;2;13N;15W;0,00 
67;GHANA;ACCRA;65;6N;0;0,00 
68;GIBRALTAR;GIBRALTAR;3;36N;5W;1,00 
69;GRECE;ATHENES;107;38N;24E;2,00 
70;GRENADE;SAINT-GEORGE'S;6;12N;62W;-5,00 
71;GROENLAND;GODTHAAB;50;70N;40W;-4,00 
72;GUADELOUPE;POINTE-A-PITRE;8;16N;62W;-5,00 
73;GUAM;AGANA;162;14N;145E;10,00 
74;GUATEMALA;GUATEMAMLA CITY;1502;15N;91W;-6,00 
75;GUERNESEY-JERSEY;ST.PETER PORT;10;50N;2W;0,00 
76;GUINEE;CONAKRY;46;10N;14W;1,00 
77;GUINEE EQUATORIALE;MALABO;24;2N;10E;1,00 
78;GUINEE-BISSAU;BISSAU;40;12N;16W;0,00 
79;GUYANA;GEORGETOWN;2;7N;58W;-3,45 
80;GUYANE FRANCAISE;CAYENNE;9;5N;52W;-3,00 
81;HAITI;PORT-AU-PRINCE;38;19N;73W;-5,00 
82;HONDURAS;TEGUCIGALPA;1107;14N;87W;-6,00 
83;HONG KONG;VICTORIA;33;22N;114E;8,00 
84;HONGRIE;BUDAPEST;130;48N;19E;1,00 
85;ILES VIERGES E-U;CHARLOTTE AMALIE;2;18N;65W;-4,00 
86;ILES VIERGES R-U;ROAD TOWN;5;18N;64W;-5,00 
87;INDE;DELHI;216;29N;77E;5,30 
88;INDONESIE;DJAKARTA;8;6S;107E;7,00 
89;IRAK;BAGDAD;2;31N;48E;3,00 
90;IRAN;TEHERAN;1590;33N;52E;3,30 
91;IRLANDE;DUBLIN;81;53N;6W;0,00 
92;ISLANDE;REYKJAVIK;49;64N;23W;0,00 
93;ISRAEL;JERUSALEM;810;32N;35E;2,00 
94;ITALIE;ROME;5;42N;12E;1,00 
95;JAMAIQUE;KINGSTON;12;18N;77W;-5,00 
96;JAPON;TOKYO;6;36N;150E;9,00 
97;JORDANIE;AMMAN;771;32N;36E;2,00 
98;KAMPUCHEA;PNOM PENH;11;11N;104E;7,00 
99;KENYA;NAIROBI;1798;1S;37E;3,00 
