RG;PAYS;CAPITALE;ALTITUDE;LATITUDE;LONGITUDE; GMT
1;AFGHANISTAN;KABOUL;1803;35;69;4.30 
2;AFRIQUE DU SUD;PRETORIA;1400;-26;28;2.00 
3;ALBANIE;TIRANA;89;41;20;1.00 
4;ALGERIE;ALGER;25;37;3;0.00 
5;ALLEMAGNE ;BONN;64;51;7;1.00 
6;ANDORRE;ANDORRE-LA-VIEILLE;1070;43;2;1.00 
7;ANGOLA;LOANDA;70;-9;13;1.00 
8;ANGUILLA;LA VALLEE;31;18;-63;-5.00 
9;ANTIGUA;SAINT-JOHN'S;10;17;-62;-5.00 
10;ANTILLES NEERLANDAISES;WILLEMSTAD;23;12;-69;-4.00 
11;ARABIE SAOUDITE;AR RIYAD;609;25;47;3.00 
12;ARGENTINE;BUENOS AIRES;25;-35;-50;-3.00 
13;AUSTRALIE;CANBERRA;560;-35;149;10.00 
14;AUTRICHE;VIENNE;212;48;16;1.00 
15;BAHAMAS;NASSAU;10;25;-77;-5.00 
16;BAHREIN;MANAMA;2;26;51;4.00 
17;BANGLADESH;DACCA;7;24;90;6.00 
18;BARBADE;BRIDGETOWN;56;13;-60;-5.00 
19;BELGIQUE;BRUXELLES;16;51;4;1.00 
20;BELIZE;BELIZE CITY;5;18;-88;-6.00 
21;BENIN;PORTO NOVO;13;6;2;1.00 
22;BERMUDES;MANILTON;46;32;-65;-4.00 
23;BHOUTAN;THIMPHU-PUNAKHA;1381;27;90;5.30 
24;BIRMANIE;RANGOON;23;17;96;6.30 
25;BOLIVIE;LA PAZ-SUCRE;3658;-17;-65;-4.00 
26;BOTSWANA;GABORONE;1006;-22;24;2.00 
27;BRESIL;BRASILIA;1161;-16;-48;-4.00 
28;BRUNEI;BANDAR SERI;3;5;115;7.30 
29;BULGARIE;SOFIA;588;43;23;2.00 
30;BURKINA FASO;OUADAGOUDOU;314;12;-2;0.00 
31;BURUNDI;BUJUMBURA;783;-3;29;2.00 
32;CAIMANS;GEORGETOWN;1;19;-81;-5.00 
33;CAMEROUN;YAOUNDE;760;4;12;1.00 
34;CANADA;OTTAWA;126;45;-75;-5.00 
35;CAP-VERT;PRAIA;28;18;-25;0.00 
36;CENTRAFRIQUE;BANGUI;381;4;19;1.00 
37;CHILI;SANTIAGO;520;-33;-71;-4.00 
38;CHINE;PEKIN;38;40;116;8.00 
39;CHYPRE;NICOSIE;217;35;33;2.00 
40;COLOMBIE;BOGOTA;2546;5;-72;-5.00 
41;COMORES;MORONI;17;-12;43;3.00 
42;CONGO;BRAZZAVILLE;314;-4;15;1.00 
43;COOK;AVARUA;2;-20;-160;-10.30 
44;COREE DU NORD;PYONGYANG;30;40;127;9.00 
45;COREE DU SUD;SEOUL;87;37;127;9.00 
46;COSTA RICA;SAN JOSE;1158;10;-84;-6.00 
47;COTE D'IVOIRE;YAMOUSSOUKRO;7;6;-6;0.00 
48;CUBA;LA HAVANE;64;21;-80;-5.00 
49;DANEMARK;COPENHAGUE;13;56;10;1.00 
50;DJIBOUTI;DJIBOUTI;9;12;43;3.00 
51;DOMINICAINE;SAINT-DOMINGUE;14;18;-70;-5.00 
52;DOMINIQUE;ROSEAU;24;15;-61;-5.00 
53;EGYPTE;LE CAIRE;24;30;32;2.00 
54;EMIRATS ARABES UNIS;ABU DHABI;15;24;54;4.00 
55;EQUATEUR;QUITO;2812;0;-78;-5.00 
56;ESPAGNE;MADRID;657;40;-4;1.00 
57;ETATS-UNIS;WASHINGTON;20;39;-77;-5.00 
58;ETHIOPIE;ADDIS ABEBA;2360;9;39;3.00 
59;FALKLAND;STANLEY;;-52;-60;-3.00 
60;FEROE;THORSHAVN;;62;-7;0.00 
61;FIDJI;SUVA;39;-18;178;12.00 
62;FINLANDE;HELSINKI;58;60;25;2.00 
63;FORMOSE;TAIPEH;9;25;122;8.00 
64;FRANCE;PARIS;53;49;2;1.00 
65;GABON;LIBREVILLE;10;0;9;1.00 
66;GAMBIE;BANJUL;2;13;-15;0.00 
67;GHANA;ACCRA;65;6;0;0.00 
68;GIBRALTAR;GIBRALTAR;3;36;-5;1.00 
69;GRECE;ATHENES;107;38;24;2.00 
70;GRENADE;SAINT-GEORGE'S;6;12;-62;-5.00 
71;GROENLAND;GODTHAAB;50;70;-40;-4.00 
72;GUADELOUPE;POINTE-A-PITRE;8;16;-62;-5.00 
73;GUAM;AGANA;162;14;145;10.00 
74;GUATEMALA;GUATEMAMLA CITY;1502;15;-91;-6.00 
75;GUERNESEY-JERSEY;ST.PETER PORT;10;50;-2;0.00 
76;GUINEE;CONAKRY;46;10;-14;1.00 
77;GUINEE EQUATORIALE;MALABO;24;2;10;1.00 
78;GUINEE-BISSAU;BISSAU;40;12;-16;0.00 
79;GUYANA;GEORGETOWN;2;7;-58;-3.45 
80;GUYANE FRANCAISE;CAYENNE;9;5;-52;-3.00 
81;HAITI;PORT-AU-PRINCE;38;19;-73;-5.00 
82;HONDURAS;TEGUCIGALPA;1107;14;-87;-6.00 
83;HONG KONG;VICTORIA;33;22;114;8.00 
84;HONGRIE;BUDAPEST;130;48;19;1.00 
85;ILES VIERGES E-U;CHARLOTTE AMALIE;2;18;-65;-4.00 
86;ILES VIERGES R-U;ROAD TOWN;5;18;-64;-5.00 
87;INDE;DELHI;216;29;77;5.30 
88;INDONESIE;DJAKARTA;8;-6;107;7.00 
89;IRAK;BAGDAD;2;31;48;3.00 
90;IRAN;TEHERAN;1590;33;52;3.30 
